Date;Heure PM Matin;Hauteur PM Matin (m);Heure PM Soir;Hauteur PM Soir (m);Heure BM Matin;Hauteur BM Matin (m);Heure BM Soir;Hauteur BM Soir (m);Coeff. Maree Matin;Coeff. Maree Soir
01/01/2020;02:32:00;7.94;14:51:00;7.75;09:40:00;2.41;21:59:00;2.41;60;56
02/01/2020;03:10:00;7.64;15:33:00;7.4;10:19:00;2.69;22:40:00;2.69;51;47
03/01/2020;03:56:00;7.34;16:27:00;7.1;11:05:00;2.93;23:29:00;2.94;43;40
04/01/2020;04:55:00;7.11;17:35:00;6.94;12:01:00;3.09; ;  ;38;37
05/01/2020;06:08:00;7.06;18:49:00;7.01;00:28:00;3.08;13:08:00;3.09;37;39
06/01/2020;07:17:00;7.24;19:51:00;7.29;01:39:00;3.03;14:23:00;2.89;42;46
07/01/2020;08:14:00;7.57;20:44:00;7.66;02:51:00;2.76;15:28:00;2.52;50;55
08/01/2020;09:03:00;7.95;21:31:00;8.04;03:51:00;2.38;16:21:00;2.12;60;66
09/01/2020;09:47:00;8.3;22:14:00;8.38;04:42:00;2.01;17:09:00;1.78;71;76
10/01/2020;10:29:00;8.61;22:57:00;8.66;05:28:00;1.71;17:55:00;1.5;80;85
11/01/2020;11:12:00;8.85;23:41:00;8.85;06:12:00;1.49;18:41:00;1.28;88;91
12/01/2020;11:56:00;8.98; ;  ;06:57:00;1.34;19:27:00;1.14;93;
13/01/2020;00:27:00;8.94;12:43:00;9.01;07:43:00;1.26;20:13:00;1.1;95;95
14/01/2020;01:15:00;8.92;13:31:00;8.91;08:28:00;1.28;20:59:00;1.17;95;93
15/01/2020;02:02:00;8.79;14:20:00;8.72;09:15:00;1.39;21:44:00;1.35;91;88
16/01/2020;02:50:00;8.58;15:11:00;8.45;10:03:00;1.59;22:30:00;1.62;83;79
17/01/2020;03:40:00;8.3;16:06:00;8.12;10:54:00;1.84;23:22:00;1.93;73;68
18/01/2020;04:36:00;8;17:08:00;7.79;11:51:00;2.1; ;  ;63;59
19/01/2020;05:42:00;7.73;18:21:00;7.57;00:21:00;2.23;12:56:00;2.3;56;54
20/01/2020;06:59:00;7.63;19:41:00;7.58;01:28:00;2.42;14:09:00;2.34;54;55
21/01/2020;08:15:00;7.78;20:50:00;7.8;02:44:00;2.41;15:25:00;2.19;58;61
22/01/2020;09:17:00;8.06;21:46:00;8.1;03:57:00;2.21;16:31:00;1.93;65;69
23/01/2020;10:07:00;8.34;22:32:00;8.36;04:56:00;1.96;17:24:00;1.69;72;76
24/01/2020;10:50:00;8.55;23:12:00;8.55;05:44:00;1.75;18:08:00;1.52;79;81
25/01/2020;11:29:00;8.69;23:50:00;8.66;06:26:00;1.59;18:48:00;1.4;83;84
26/01/2020;12:06:00;8.74; ;  ;07:04:00;1.5;19:25:00;1.35;84;
27/01/2020;00:26:00;8.68;12:41:00;8.69;07:41:00;1.5;20:00:00;1.39;84;84
28/01/2020;01:00:00;8.61;13:15:00;8.56;08:15:00;1.59;20:32:00;1.52;82;80
29/01/2020;01:31:00;8.48;13:46:00;8.36;08:44:00;1.76;21:00:00;1.72;78;74
30/01/2020;02:01:00;8.29;14:17:00;8.11;09:13:00;1.96;21:28:00;1.96;71;67
31/01/2020;02:33:00;8.05;14:51:00;7.81;09:43:00;2.21;22:01:00;2.24;63;58
01/02/2020;03:08:00;7.76;15:30:00;7.47;10:19:00;2.49;22:39:00;2.57;54;49
02/02/2020;03:51:00;7.42;16:21:00;7.11;11:03:00;2.79;23:27:00;2.89;45;41
03/02/2020;04:49:00;7.09;17:31:00;6.85;12:00:00;3.04; ;  ;38;36
04/02/2020;06:07:00;6.93;18:56:00;6.89;00:30:00;3.11;13:15:00;3.1;35;37
05/02/2020;07:29:00;7.11;20:09:00;7.24;01:51:00;3.06;14:41:00;2.82;41;46
06/02/2020;08:33:00;7.55;21:06:00;7.74;03:13:00;2.68;15:50:00;2.32;52;59
07/02/2020;09:27:00;8.05;21:57:00;8.23;04:15:00;2.16;16:46:00;1.81;66;73
08/02/2020;10:14:00;8.51;22:45:00;8.66;05:08:00;1.7;17:39:00;1.39;80;87
09/02/2020;11:01:00;8.88;23:32:00;8.97;05:59:00;1.35;18:31:00;1.07;93;98
10/02/2020;11:49:00;9.14; ;  ;06:50:00;1.09;19:22:00;0.83;103;
11/02/2020;00:19:00;9.17;12:37:00;9.26;07:40:00;0.91;20:10:00;0.7;106;108
12/02/2020;01:06:00;9.23;13:24:00;9.23;08:26:00;0.85;20:53:00;0.73;108;107
13/02/2020;01:50:00;9.14;14:08:00;9.06;09:10:00;0.92;21:33:00;0.94;105;101
14/02/2020;02:32:00;8.92;14:51:00;8.74;09:51:00;1.16;22:12:00;1.3;95;89
15/02/2020;03:14:00;8.58;15:38:00;8.29;10:34:00;1.54;22:55:00;1.78;81;74
16/02/2020;04:03:00;8.12;16:34:00;7.75;11:23:00;1.99;23:47:00;2.29;66;58
17/02/2020;05:05:00;7.6;17:47:00;7.27;12:22:00;2.41; ;  ;52;47
18/02/2020;06:28:00;7.24;19:20:00;7.13;00:52:00;2.69;13:36:00;2.64;44;44
19/02/2020;07:59:00;7.32;20:38:00;7.4;02:15:00;2.79;15:04:00;2.53;47;50
20/02/2020;09:06:00;7.67;21:34:00;7.8;03:42:00;2.52;16:18:00;2.17;55;60
21/02/2020;09:56:00;8.06;22:19:00;8.16;04:45:00;2.12;17:12:00;1.82;66;70
22/02/2020;10:36:00;8.37;22:56:00;8.44;05:33:00;1.79;17:55:00;1.56;75;78
23/02/2020;11:12:00;8.58;23:31:00;8.62;06:13:00;1.56;18:32:00;1.37;81;84
24/02/2020;11:46:00;8.7; ;  ;06:49:00;1.41;19:07:00;1.26;85;
25/02/2020;00:03:00;8.71;12:18:00;8.73;07:23:00;1.34;19:39:00;1.23;86;87
26/02/2020;00:34:00;8.72;12:49:00;8.68;07:54:00;1.36;20:08:00;1.29;87;86
27/02/2020;01:03:00;8.66;13:18:00;8.56;08:21:00;1.46;20:34:00;1.43;84;82
28/02/2020;01:31:00;8.53;13:46:00;8.36;08:46:00;1.62;20:59:00;1.64;79;75
29/02/2020;01:59:00;8.32;14:15:00;8.08;09:12:00;1.84;21:27:00;1.93;72;67
01/03/2020;02:28:00;8.04;14:47:00;7.73;09:43:00;2.14;21:59:00;2.29;62;57
02/03/2020;03:03:00;7.67;15:28:00;7.32;10:20:00;2.51;22:41:00;2.69;52;46
03/03/2020;03:51:00;7.23;16:31:00;6.89;11:10:00;2.87;23:38:00;3.05;41;37
04/03/2020;05:06:00;6.84;18:05:00;6.69;12:21:00;3.1; ;  ;34;33
05/03/2020;06:47:00;6.84;19:37:00;6.99;01:01:00;3.17;13:58:00;2.96;36;41
06/03/2020;08:07:00;7.3;20:44:00;7.58;02:39:00;2.82;15:22:00;2.39;47;56
07/03/2020;09:06:00;7.92;21:39:00;8.21;03:51:00;2.19;16:25:00;1.76;64;74
08/03/2020;09:58:00;8.5;22:29:00;8.73;04:49:00;1.61;17:22:00;1.24;82;91
09/03/2020;10:47:00;8.96;23:17:00;9.11;05:45:00;1.17;18:18:00;0.86;99;105
10/03/2020;11:36:00;9.27; ;  ;06:40:00;0.86;19:11:00;0.59;110;
11/03/2020;00:04:00;9.35;12:24:00;9.42;07:31:00;0.65;19:57:00;0.47;114;116
12/03/2020;00:49:00;9.42;13:09:00;9.4;08:16:00;0.57;20:37:00;0.53;117;115
13/03/2020;01:31:00;9.33;13:50:00;9.2;08:55:00;0.68;21:13:00;0.8;111;106
14/03/2020;02:09:00;9.08;14:30:00;8.82;09:33:00;0.98;21:49:00;1.25;100;92
15/03/2020;02:49:00;8.66;15:13:00;8.29;10:11:00;1.44;22:28:00;1.82;83;74
16/03/2020;03:35:00;8.1;16:05:00;7.65;10:56:00;2;23:17:00;2.42;64;56
17/03/2020;04:34:00;7.45;17:17:00;7.04;11:52:00;2.54; ;  ;47;41
18/03/2020;06:00:00;6.96;18:57:00;6.85;00:22:00;2.9;13:06:00;2.86;38;37
19/03/2020;07:40:00;7.02;20:19:00;7.16;01:50:00;3.02;14:41:00;2.76;40;45
20/03/2020;08:48:00;7.42;21:15:00;7.63;03:24:00;2.66;15:59:00;2.32;51;56
21/03/2020;09:36:00;7.87;21:57:00;8.06;04:28:00;2.16;16:52:00;1.89;62;67
22/03/2020;10:15:00;8.24;22:33:00;8.38;05:14:00;1.77;17:33:00;1.58;72;76
23/03/2020;10:50:00;8.49;23:05:00;8.59;05:52:00;1.52;18:09:00;1.38;80;82
24/03/2020;11:22:00;8.63;23:36:00;8.7;06:26:00;1.37;18:42:00;1.26;85;86
25/03/2020;11:52:00;8.69; ;  ;06:59:00;1.3;19:12:00;1.21;87;
