Date;Heure PM Matin;Hauteur PM Matin (m);Heure PM Soir;Hauteur PM Soir (m);Heure BM Matin;Hauteur BM Matin (m);Heure BM Soir;Hauteur BM Soir (m);Coeff. Maree Matin;Coeff. Maree Soir
01/01/2020;07:15:00;3.7;19:42:00;3.35;01:02:00;1.43;13:29:00;1.41;56;51
02/01/2020;08:03:00;3.53;20:38:00;3.23;01:48:00;1.59;14:18:00;1.57;47;43
03/01/2020;09:00:00;3.39;21:43:00;3.17;02:41:00;1.72;15:15:00;1.68;40;38
04/01/2020;10:05:00;3.32;22:51:00;3.21;03:45:00;1.79;16:20:00;1.72;37;37
05/01/2020;11:12:00;3.34;23:53:00;3.33;04:53:00;1.77;17:25:00;1.65;39;42
06/01/2020;12:13:00;3.44; ;  ;05:56:00;1.65;18:21:00;1.51;46;
07/01/2020;00:45:00;3.51;13:06:00;3.6;06:50:00;1.47;19:09:00;1.34;50;55
08/01/2020;01:30:00;3.71;13:52:00;3.78;07:38:00;1.26;19:53:00;1.15;60;66
09/01/2020;02:11:00;3.92;14:35:00;3.95;08:22:00;1.03;20:35:00;0.97;71;76
10/01/2020;02:52:00;4.13;15:17:00;4.11;09:05:00;0.82;21:17:00;0.81;80;85
11/01/2020;03:33:00;4.3;16:00:00;4.21;09:48:00;0.65;22:00:00;0.7;88;91
12/01/2020;04:16:00;4.41;16:44:00;4.25;10:32:00;0.54;22:44:00;0.66;93;95
13/01/2020;05:01:00;4.46;17:29:00;4.22;11:17:00;0.51;23:30:00;0.68;95;95
14/01/2020;05:47:00;4.42;18:17:00;4.11;12:03:00;0.57; ;  ;93;91
15/01/2020;06:37:00;4.31;19:08:00;3.95;00:17:00;0.77;12:52:00;0.71;88;83
16/01/2020;07:30:00;4.13;20:05:00;3.77;01:07:00;0.92;13:44:00;0.91;79;73
17/01/2020;08:29:00;3.92;21:09:00;3.62;02:03:00;1.11;14:44:00;1.13;68;63
18/01/2020;09:37:00;3.73;22:22:00;3.54;03:06:00;1.28;15:52:00;1.3;59;56
19/01/2020;10:54:00;3.62;23:36:00;3.57;04:19:00;1.38;17:05:00;1.38;54;54
20/01/2020;12:10:00;3.61; ;  ;05:34:00;1.38;18:15:00;1.34;55;
21/01/2020;00:42:00;3.69;13:14:00;3.68;06:43:00;1.27;19:15:00;1.24;58;61
22/01/2020;01:36:00;3.85;14:07:00;3.78;07:42:00;1.12;20:06:00;1.11;65;69
23/01/2020;02:23:00;4;14:52:00;3.88;08:32:00;0.97;20:51:00;0.99;72;76
24/01/2020;03:04:00;4.13;15:31:00;3.94;09:16:00;0.85;21:31:00;0.91;79;81
25/01/2020;03:42:00;4.22;16:07:00;3.98;09:55:00;0.78;22:09:00;0.87;83;84
26/01/2020;04:18:00;4.25;16:41:00;3.96;10:32:00;0.77;22:44:00;0.88;84;84
27/01/2020;04:53:00;4.22;17:14:00;3.91;11:07:00;0.81;23:18:00;0.94;84;82
28/01/2020;05:27:00;4.14;17:46:00;3.82;11:41:00;0.9;23:51:00;1.04;80;78
29/01/2020;06:01:00;4.02;18:19:00;3.69;12:14:00;1.04; ;  ;74;71
30/01/2020;06:36:00;3.86;18:53:00;3.55;00:26:00;1.18;12:49:00;1.2;67;63
31/01/2020;07:14:00;3.68;19:33:00;3.4;01:03:00;1.34;13:26:00;1.37;58;54
01/02/2020;07:59:00;3.5;20:24:00;3.26;01:46:00;1.51;14:11:00;1.54;49;45
02/02/2020;08:55:00;3.33;21:31:00;3.18;02:37:00;1.67;15:06:00;1.69;41;38
03/02/2020;10:06:00;3.23;22:49:00;3.19;03:41:00;1.77;16:16:00;1.75;36;35
04/02/2020;11:24:00;3.25; ;  ;05:01:00;1.76;17:32:00;1.68;37;
05/02/2020;00:02:00;3.33;12:34:00;3.4;06:14:00;1.6;18:37:00;1.51;41;46
06/02/2020;01:02:00;3.55;13:31:00;3.63;07:13:00;1.34;19:31:00;1.26;52;59
07/02/2020;01:51:00;3.83;14:19:00;3.88;08:04:00;1.04;20:18:00;0.99;66;73
